customer_key,user_id,full_name,email,phone,address,preferred_currency_id,created_at
1,1,نورة المطيري,pro_user1@ecommerce.sa,0546650472,حي 1,1,2025-01-23 01:18:08
2,2,علي العتيبي,pro_user2@ecommerce.sa,0565595675,حي 11,2,2025-02-11 01:18:08
3,3,محمد الزهراني,pro_user3@ecommerce.sa,0597486485,حي 4,3,2025-09-07 01:18:08
4,4,ليلى المطيري,pro_user4@ecommerce.sa,0524809336,حي 11,1,2025-05-21 01:18:08
5,5,عبدالله القحطاني,pro_user5@ecommerce.sa,0599215166,حي 1,1,2025-03-03 01:18:08
6,6,محمد العتيبي,pro_user6@ecommerce.sa,0581032787,حي 17,3,2025-08-11 01:18:08
7,7,خالد القحطاني,pro_user7@ecommerce.sa,0584712002,حي 7,3,2025-03-22 01:18:08
8,8,أحمد القحطاني,pro_user8@ecommerce.sa,0552416958,حي 3,1,2025-11-16 01:18:08
9,9,عبدالله الغامدي,pro_user9@ecommerce.sa,0551262923,حي 14,2,2025-11-26 01:18:08
10,10,عبدالله القحطاني,pro_user10@ecommerce.sa,0523739316,حي 14,1,2025-05-25 01:18:08
11,11,خالد الشمري,pro_user11@ecommerce.sa,0538662342,حي 18,3,2025-06-05 01:18:08
12,12,ليلى الدوسري,pro_user12@ecommerce.sa,0525100616,حي 14,2,2025-12-04 01:18:08
13,13,أحمد الدوسري,pro_user13@ecommerce.sa,0510819136,حي 10,3,2025-02-09 01:18:08
14,14,محمد المطيري,pro_user14@ecommerce.sa,0534131709,حي 13,2,2025-02-13 01:18:08
15,15,سارة الشمري,pro_user15@ecommerce.sa,0581684164,حي 5,1,2025-12-11 01:18:08
16,16,محمد القحطاني,pro_user16@ecommerce.sa,0571694051,حي 4,1,2025-12-14 01:18:08
17,17,علي المطيري,pro_user17@ecommerce.sa,0574662688,حي 18,1,2025-07-24 01:18:08
18,18,محمد القحطاني,pro_user18@ecommerce.sa,0569188849,حي 16,1,2025-01-17 01:18:08
19,19,محمد الدوسري,pro_user19@ecommerce.sa,0522151565,حي 8,2,2025-06-07 01:18:08
20,20,فاطمة الزهراني,pro_user20@ecommerce.sa,0582479786,حي 7,3,2025-12-25 01:18:08
21,21,خالد القحطاني,pro_user21@ecommerce.sa,0593411139,حي 15,3,2025-10-21 01:18:08
22,22,خالد الشمري,pro_user22@ecommerce.sa,0599206840,حي 5,3,2025-08-06 01:18:08
23,23,عمر الزهراني,pro_user23@ecommerce.sa,0532713806,حي 10,3,2025-10-09 01:18:08
24,24,سارة الزهراني,pro_user24@ecommerce.sa,0514554007,حي 7,2,2025-12-23 01:18:08
25,25,عمر الزهراني,pro_user25@ecommerce.sa,0520056405,حي 7,3,2025-08-15 01:18:08
26,26,علي الشمري,pro_user26@ecommerce.sa,0588514344,حي 12,1,2025-10-31 01:18:08
27,27,علي الدوسري,pro_user27@ecommerce.sa,0514587890,حي 19,2,2025-07-17 01:18:08
28,28,سارة المطيري,pro_user28@ecommerce.sa,0558721035,حي 3,3,2025-10-15 01:18:08
29,29,عمر المطيري,pro_user29@ecommerce.sa,0523578437,حي 2,1,2025-03-08 01:18:08
30,30,نورة الزهراني,pro_user30@ecommerce.sa,0517776511,حي 2,1,2025-08-07 01:18:08
31,31,نورة العتيبي,pro_user31@ecommerce.sa,0555130397,حي 13,1,2025-08-01 01:18:08
32,32,عمر العتيبي,pro_user32@ecommerce.sa,0539395692,حي 10,3,2025-07-29 01:18:08
33,33,عبدالله الغامدي,pro_user33@ecommerce.sa,0516163119,حي 16,2,2025-05-31 01:18:08
34,34,عبدالله القحطاني,pro_user34@ecommerce.sa,0597029932,حي 13,1,2025-09-03 01:18:08
35,35,عمر الشمري,pro_user35@ecommerce.sa,0583279090,حي 11,3,2025-07-28 01:18:08
36,36,فاطمة الزهراني,pro_user36@ecommerce.sa,0582307647,حي 11,1,2025-05-13 01:18:08
37,37,عمر الشمري,pro_user37@ecommerce.sa,0539109860,حي 6,2,2025-04-27 01:18:08
38,38,ليلى الشمري,pro_user38@ecommerce.sa,0548206841,حي 18,3,2025-11-08 01:18:08
39,39,نورة الزهراني,pro_user39@ecommerce.sa,0515532898,حي 20,2,2025-02-05 01:18:08
40,40,خالد الزهراني,pro_user40@ecommerce.sa,0527913277,حي 13,2,2025-11-20 01:18:08
41,41,عمر الزهراني,pro_user41@ecommerce.sa,0580698198,حي 1,3,2025-01-16 01:18:08
42,42,عبدالله العتيبي,pro_user42@ecommerce.sa,0517232585,حي 5,2,2024-12-11 01:18:08
43,43,نورة العتيبي,pro_user43@ecommerce.sa,0595971660,حي 18,1,2025-12-26 01:18:08
44,44,عمر الشمري,pro_user44@ecommerce.sa,0517511763,حي 6,2,2025-06-08 01:18:08
